epoch,tr_loss,tr_f1,va_loss,va_f1
1,1.388924336777875,0.32148088112984496,1.4035616272754456,0.24561403508771928
2,1.0846094707258387,0.5224366076227421,1.428551369591763,0.28270303138692665
3,1.0034083957150501,0.6041254551072159,1.2111439481021113,0.7226759302308098
4,0.8865836123071834,0.6689280703684464,1.26557563157363,0.5789473684210527
5,0.9016816120685726,0.6547434469788816,1.2670062915132376,0.5841401109277777
6,0.8575607647713739,0.7348816280948373,1.193124339531103,0.8034804429654684
7,0.8370720622955338,0.7746323235666326,1.2422284171864557,0.764353168012111
8,0.8315277833646624,0.7852238458556681,1.3301554633812471,0.7134935673681062
9,0.8328414844982723,0.7889733645270269,1.1991981170489268,0.7788418408540414
10,0.8090438374055797,0.8097015033026289,1.376069185171021,0.7435079530914309
11,0.8248757522336634,0.8057314551409164,1.2267555997750026,0.7775363122297373
12,0.7906003823016245,0.8202462650832656,1.1605140205585596,0.8006332089903138
13,0.7772935094561083,0.8360663155818598,1.0903870732400216,0.8554123098431183
14,0.7607480046426794,0.8478528211342895,1.1778629846882782,0.7697472432246499
15,0.7469009004346193,0.8609564216009397,1.1127547255971215,0.8165101725846564
16,0.7485572233780742,0.8635499529700748,1.739180314008509,0.7395507437875624
17,0.7228432851720192,0.88342461672578,1.1178700472369338,0.8392260069679425
18,0.7065102203957683,0.900818484898509,1.105158153832244,0.8678179351177995
19,0.6905691597237799,0.9129751860351343,1.2558177751644948,0.830919114501204
20,0.6894590101743999,0.9156256336299042,1.0440276534648603,0.8999146445555419
21,0.6715236614773189,0.9282928331610318,1.0705643002258725,0.888273148515137
22,0.6626752908999952,0.9391712038410056,1.0693511893256809,0.8782834570909058
23,0.6418282535218028,0.9536607279261453,1.0775248896942564,0.892097274712496
24,0.6322619789115006,0.9641737710349833,1.049645918550674,0.9110695398784041
25,0.6226653258210816,0.9729475518057933,1.0737631884203003,0.8818652849740932
26,0.6110003460589495,0.983951591830369,1.1048828830179036,0.8908773186065451
27,0.6046997231636664,0.9907116393003301,1.0702464889491383,0.8832565284178188
28,0.60017764451457,0.995310184634544,1.060167168838936,0.8963227309684003
29,0.594753858474755,0.9968084297981206,1.0663401852384138,0.9076014589243327
30,0.5904558783222155,0.9973067919972123,1.0454985727771426,0.9182739831825328
31,0.5896351364907999,0.9991552136480211,1.037531089697158,0.9226825811826618
32,0.5895755918812497,0.999830759795908,1.0446248635103068,0.9157908874189974
33,0.5868405092611402,1.0,1.0478965412866936,0.9094871434360811
34,0.5890889477803611,0.9996616613079885,1.0392249674793255,0.9172902518243556
35,0.588224913559708,0.9994501958316429,1.0455271915385598,0.915366769308643
36,0.5862588313259863,0.999830759795908,1.0449823228080877,0.9142665130568356
37,0.5851223014620599,1.0,1.0424527812992748,0.9086717518217071
38,0.5843512949190641,1.0,1.050240731244072,0.9094107468999327
39,0.5843496946768536,1.0,1.04394618827,0.912558060254826
40,0.5819046732523944,1.0,1.0410216905806433,0.9096850861556744
41,0.5846644135984638,1.0,1.0442848845817256,0.912558060254826
42,0.5831224641563723,1.0,1.0455576325907852,0.9128573238369059
43,0.5842264073182923,1.0,1.0491457773310147,0.912558060254826
