epoch,tr_loss,tr_f1,va_loss,va_f1
1,1.4337003897423182,0.33412662349232525,1.3575528155911292,0.6118365660710454
2,0.8736608604159517,0.7124587988905288,1.2553380717786304,0.8085633788911675
3,0.7637906733107066,0.8433440182155109,1.0337145414791609,0.9160237755714136
4,0.725635944751271,0.8800135122410653,1.119717505797625,0.855552086256794
5,0.7022246708974914,0.907205338712537,1.117585805519536,0.8644496329484024
6,0.6795484362741003,0.9314043807451746,1.0715403269732777,0.9234895506370236
7,0.664788262086264,0.9475927408388496,1.0340469751441688,0.9197757851899449
8,0.6532732496402663,0.9590634852863446,1.0425596423506547,0.9136728011079551
9,0.6344623810079527,0.9732533018962692,1.0823123186018668,0.9122193357296751
10,0.6425111015965776,0.9740177985976424,1.0926012121129074,0.9005414874910611
11,0.628454675430853,0.9789283591281059,1.1064814561339276,0.8998017153439244
12,0.6147278906924232,0.9882412277606027,1.0803990331753208,0.9110531067304591
13,0.6077502141262929,0.9941081973568531,1.127705324447136,0.8730499822370493
14,0.6031022015247798,0.9968746726771112,1.0824774519868634,0.9015634992483934
15,0.6010209517377244,0.9969617399069233,1.116081981662738,0.8947560863740701
16,0.6017053082590461,0.9967087005298665,1.1316624986783168,0.8820575832003366
17,0.6003059898818691,0.9985616553159887,1.1620226000484668,0.8804681787791051
18,0.6073759258675091,0.9914561771150607,1.0928280118977625,0.896897386548914
