test_sample_idx,true_class,pred_class,pred_prob,true_prob,ch1_path,col_index,seg_idx,speed_pct
752,healthy 1,bearing bpfo 3,0.5844155699014664,0.40197543799877167,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,34,11,
753,healthy 1,bearing bpfo 3,0.5676499903202057,0.425794318318367,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,34,12,
754,healthy 1,bearing bpfo 3,0.6304841339588165,0.36170994490385056,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,34,13,
832,healthy 1,bearing bpfo 3,0.49827422201633453,0.482221394777298,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,35,34,
833,healthy 1,bearing bpfo 3,0.5453962981700897,0.44371648132801056,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,35,35,
1136,bearing bpfo 3,healthy 1,0.5064464062452316,0.4905344354920089,C:\Project Work\Denoised\Motor-2\75\bearing bpfo 3\Electric_Motor-2_75_time-bearing bpfo 3-ch1.csv,6,53,
1137,bearing bpfo 3,healthy 1,0.5829731598496437,0.40066901966929436,C:\Project Work\Denoised\Motor-2\75\bearing bpfo 3\Electric_Motor-2_75_time-bearing bpfo 3-ch1.csv,6,54,
1139,bearing bpfo 3,healthy 1,0.5685946270823479,0.4204449560493231,C:\Project Work\Denoised\Motor-2\75\bearing bpfo 3\Electric_Motor-2_75_time-bearing bpfo 3-ch1.csv,6,56,
1140,bearing bpfo 3,healthy 1,0.8683980107307434,0.12382794544100761,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,0,
1141,bearing bpfo 3,healthy 1,0.8527237772941589,0.14182745851576328,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,1,
1143,bearing bpfo 3,healthy 1,0.8118934631347656,0.1796921007335186,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,3,
1144,bearing bpfo 3,healthy 1,0.781677782535553,0.20868045464158058,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,4,
1145,bearing bpfo 3,healthy 1,0.7736544907093048,0.220222607254982,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,5,
1146,bearing bpfo 3,healthy 1,0.7696996331214905,0.21189754456281662,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,6,
1147,bearing bpfo 3,healthy 1,0.7145020514726639,0.27709139231592417,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,7,
1148,bearing bpfo 3,healthy 1,0.9726672172546387,0.021123989019542933,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,8,
1149,bearing bpfo 3,healthy 1,0.9540842175483704,0.044441618607379496,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,9,
1150,bearing bpfo 3,healthy 1,0.9634923040866852,0.03378364717354998,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,10,
1151,bearing bpfo 3,healthy 1,0.8586508333683014,0.1344850454479456,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,11,
1152,bearing bpfo 3,healthy 1,0.9488473832607269,0.04538639169186354,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,12,
1153,bearing bpfo 3,healthy 1,0.9895806908607483,0.007440542511176318,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,13,
1154,bearing bpfo 3,healthy 1,0.9871379733085632,0.010719611076638103,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,14,
1155,bearing bpfo 3,healthy 1,0.9775488078594208,0.018367873854003847,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,15,
1156,bearing bpfo 3,healthy 1,0.9134118258953094,0.07899333443492651,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,16,
1157,bearing bpfo 3,healthy 1,0.6132734566926956,0.3697880581021309,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,17,
1165,bearing bpfo 3,healthy 1,0.5198622941970825,0.4659062623977661,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,25,
1168,bearing bpfo 3,healthy 1,0.7070348858833313,0.2771362215280533,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,28,
1170,bearing bpfo 3,healthy 1,0.7645977735519409,0.22396966814994812,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,30,
1171,bearing bpfo 3,healthy 1,0.7930243611335754,0.19162263721227646,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,31,
1172,bearing bpfo 3,healthy 1,0.6621067374944687,0.3244742304086685,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,32,
1173,bearing bpfo 3,healthy 1,0.906968355178833,0.08192770555615425,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,33,
1174,bearing bpfo 3,healthy 1,0.804509848356247,0.1778448149561882,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,34,
1175,bearing bpfo 3,healthy 1,0.8468822538852692,0.13519227132201195,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,35,
1176,bearing bpfo 3,healthy 1,0.7305805385112762,0.25597158819437027,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,36,
1177,bearing bpfo 3,healthy 1,0.8050615191459656,0.183551836758852,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,37,
