epoch,train_loss,train_f1,val_loss,val_f1
1,0.7603491001781992,0.629778619079101,0.5131995449796247,0.8321249728384331
2,0.41495377787987636,0.8836271937021912,0.5564923077298883,0.8521868295656497
3,0.38278809710593825,0.9092036591054613,0.39684450036981267,0.8942519152097976
4,0.3248817631478239,0.9450722884746198,0.40418585721385536,0.9094417077175698
5,0.2823900980538505,0.9699449361205309,0.3884294662369115,0.904928889831572
6,0.2617605998010048,0.9814134440473894,0.47611755722067195,0.8655781898320826
7,0.24095042596824562,0.9922051491712645,0.46348516978145216,0.8906863408475921
8,0.22921303959802372,0.9966635150863103,0.40751563956102493,0.8959975591611418
9,0.21795793404110034,1.0,0.41190974749446485,0.8922302167513299
10,0.21540209763764434,1.0,0.4080110182079592,0.9004353750923872
11,0.2144883730114634,1.0,0.3993075945350732,0.9002278543252092
12,0.21441390902306315,0.9997238519786205,0.40209118689171247,0.8964589431281833
13,0.2131009353706014,1.0,0.403068778284809,0.8943118139232343
14,0.21265306717184018,1.0,0.39028925224069205,0.9050241116891362
15,0.21257713376594073,1.0,0.40675706978429826,0.898662635085379
